TOM-ACT,Name_Movie,Actors,Actor_2,Actor_3,Actor_4,Came_out,Date_M,Rate_S,Director
Romance,Fifty Shades Freed,Dakota Johnson,Jamie Dornan,Eric Johnson,,2018,,4.5,James Foley
Romance,Dirty Dancing,Patrick Swayze,Jennifer Grey,Jerry Orbach,,1987,,7,Emile Ardolino
Romance,The Vow,Rachel McAdams,Channing Tatum,Sam Neill,,2012,,6.8,Michael Sucsy
Romance,The Last Song,Miley Cyrus,Liam Hemsworth,Greg Kinnear,,2010,,6,Julie Anne Robinson
Romance,Romeo + Juliet,Leonardo DiCaprio,Claire Danes,John Leguizamo,,1996,,6.7,Baz Luhrmann
Romance,10 Things I Hate About You,Heath Ledger,Julia Stiles,Joseph Gordon-Levitt,,1999,,7.3,Gil Junger
Romance,Love Actually,Hugh Grant,Martine McCutcheon,Liam Neeson,,2003,,7.6,Richard Curtis
Romance,Safe Haven,Julianne Hough,Josh Duhamel,Cobie Smulders,,2013,,6.7,Lasse Hallström
Romance,To All the Boys I've Loved Before,Lana Condor,Noah Centineo,Janel Parrish,,2018,,7.1,Susan Johnson
Romance,The Spectacular Now,Miles Teller,Shailene Woodley,Kyle Chandler,,2013,,7.1,James Ponsoldt
Romance,Five Feet Apart,Haley Lu Richardson,Cole Sprouse,Moises Arias,,2019,,7.2,Justin Baldoni
Romance,Easy A,Emma Stone,Amanda Bynes,Penn Badgley,,2010,,7,Will Gluck
Romance,Valentine's Day,Julia Roberts,Jamie Foxx,Anne Hathaway,,2010,,5.7,Garry Marshall
Romance,A Cinderella Story,Hilary Duff,Chad Michael Murray,Jennifer Coolidge,,2004,,5.9,Mark Rosman
Romance,Groundhog Day,Bill Murray,Andie MacDowell,Chris Elliott,,1993,,8,Harold Ramis
Romance,Me Before You,Emilia Clarke,Sam Claflin,Janet McTeer,,2016,,7.4,Thea Sharrock
Romance,Remember Me,Robert Pattinson,Emilie de Ravin,Caitlyn Rund,,2010,,7.1,Allen Coulter
Romance,Twilight,Kristen Stewart,Robert Pattinson,Billy Burke,,2008,,5.2,Catherine Hardwicke
Romance,The Twilight Saga: New Moon,Kristen Stewart,Robert Pattinson,Taylor Lautner,,2009,,4.7,Chris Weitz
Romance,The Twilight Saga: Eclipse,Kristen Stewart,Robert Pattinson,Taylor Lautner,,2010,,5,David Slade
Romance,The Twilight Saga: Breaking Dawn - Part 1,Kristen Stewart,Robert Pattinson,Taylor Lautner,,2011,,4.9,Bill Condon
Romance,The Twilight Saga: Breaking Dawn - Part 2,Kristen Stewart,Robert Pattinson,Taylor Lautner,,2012,,5.5,Bill Condon
Romance,Grease,John Travolta,Olivia Newton-John,Stockard Channing,,1978,,7.2,Randal Kleiser
Romance,Charlie St. Cloud,Zac Efron,Kim Basinger,Charlie Tahan,,2010,,6.4,Burr Steers
Romance,The Longest Ride,Scott Eastwood,Britt Robertson,Alan Alda,,2015,,7.1,George Tillman Jr.
Romance,A Star Is Born,Lady Gaga,Bradley Cooper,Sam Elliott,,2018,,7.6,Bradley Cooper
Romance,Endless Love,Brooke Shields,Martin Hewitt,Shirley Knight,,1981,,4.9,Franco Zeffirelli
Romance,Beastly,Alex Pettyfer,Vanessa Hudgens,Mary-Kate Olsen,,2011,,5.6,Daniel Barnz
Romance,The Princess Bride,Cary Elwes,Mandy Patinkin,Robin Wright,,1987,,8.1,Rob Reiner
Romance,Marriage Story,Adam Driver,Scarlett Johansson,Julia Greer,,2019,,8,Noah Baumbach
Romance,Last Christmas,Madison Ingoldsby,Emma Thompson,Boris Isakovic,,2019,,6.5,Paul Feig
Romance,Brokeback Mountain,Jake Gyllenhaal,Heath Ledger,Michelle Williams,,2005,,7.7,Ang Lee
